numunitid,obsval,source_code_description,description
1049,233813,millipascal,mPas
368,232214,the number ten,x10
20,232167,score,/24
117,231775,per 24 hours,Cig/d(past)
1034,231128,billion per liter,x10 9/l
355,228283,percent hemoglobin,% of Hb
329,226980,fraction,fraction
849,221789,percent hemoglobin,%Hb
38,220148,per 24 hours,/d
513,219023,week,weeks gestation
407,216147,thousand per milliliter,10*3/mL
1133,215235,billion per liter,x10**9/l
13,215118,score,/15
46,209470,per week,/wk
1313,208728,millimeter per hour,mm in 1Hr
236,202158,nanomole per liter,nnmol/l
933,199260,billion per liter,*10 9/l
478,198755,per 24 hours,cigarettes / day
14658,197025,billion per liter,e/9l
825,195198,milliliter per minute per 1.73 square meter,mls/min/1.73 m2
916,193281,millimole per mole of hemoglobin,mmol/mol HbA0
1199,189825,per milliliter,/mL
365,188197,milligram per millimole of creatinine,mg/mmol (creat)
237,187261,per 24 hours,no./day
14663,180274,milliliter per minute per 1.73 square meter,mLs/min/1.73m^2
11413,177532,,Null
1085,176886,milliliter per minute per 1.73 square meter,mL/min/1.73^2
856,175871,millimeter mercury column,O/E - BP reading normal
1581,172608,billion per liter,x10/9 l
1452,169711,millimeter mercury column,mm(Hg)
367,164916,trillion per liter,*10^12/l
1183,163714,per 100 white blood cells,/100 WBCs
865,163408,thousand allergen-specific IgE antibody units per liter,kAU/L
827,160634,kilogram,Kgs
1047,157546,unit,-
59,156020,counts per minute,{Resp}/min
455,155177,millimeter mercury column,O/E - blood pressure reading
822,153584,kilogram per square meter,18.5-24.9
1396,151173,percent hemoglobin,% Tot.Hb
14516,146024,,ug Hb/g
50,140335,international unit per milliliter,[iU]/mL
703,139706,per 24 hours,cigars/day
410,139411,milli-international unit per milliliter,mIU/ml
1825,139225,million per microliter,10^6/uL
963,139213,millimeter per hour,mm/1stHr
60,138405,unit per liter,{U}/L
366,137191,millimeter per hour,mm/1Hr
244,135771,,oz/wk.
359,132848,kilogram per square meter,Kg/m?
35,130783,score,/7
653,130403,milliliter per minute,mL/min/uSA
808,128656,minute,mins
1194,125714,billion per liter,10/9/l
398,125320,per hundred,/100
165,125108,day per week,light d/wk
1675,124893,millimole per mole of hemoglobin,mmol/mol Hb
454,120713,nanogram per milliliter,nanograms/ml
707,120554,trillion per liter,x 10^12/l
656,120134,gram per deciliter,g/dL.
272,117085,per 24 hours,times/day
857,116252,milligram per millimole of creatinine,mg/mmol Creat.
1399,113378,trillion per liter,X1012/L
425,111529,microequivalent per liter,mEq/L
7076,110563,,ug Hb/g Faeces
332,109416,millimole,mmol
136,106280,,Full blood count - FBC
677,104795,unit,Unit
1603,103843,milliliter per minute per 1.73 square meter,mls/min/1.73m2
28,103122,score,/35
382,102802,,Undefined
1233,102061,millimeter per hour,mm/1st Hour
194,101835,microgram per gram,microgram/g
1205,101690,per cubic millimeter,/cu.mm.
64,100307,,1
912,100221,percent hemoglobin A1c,DCCT %
854,99785,millimeter per hour,mm in 1 hr
1339,99540,gram per deciliter,gms/dl
953,99109,unit per liter,units/l
1626,98135,billion per liter,10e9/l
248,96331,per month,per month
12265,94496,,ugHb/g Stl
673,94046,per cubic millimeter,/cu.mm
907,92308,kilogram per square meter,kg/m^2
434,92200,,INR
1192,91402,percent hemoglobin,% HB.
327,90965,per trillion,x10 12
880,90208,month,month
319,89761,milliliter per second,mL/s
1058,83821,millimeter per hour,mm 1st h
22106,82413,micromole per liter,Âµmol/L
1178,81572,millimeter per hour,MM 1stHR
867,80378,second,Secs.
224,80186,milliosmole per kilogram,mosmol/kg
813,78822,per microliter,per uL
992,78502,trillion per liter,RBC/whole blood
1239,78339,liter per minute,L/M
885,78275,milliliter per minute per 1.73 square meter,ml/min (cor)
2287,78142,unit,UNKNOWN UN
1103,76241,billion per liter,x 10e9/litre
681,75433,,Urine glucose test negative
2391,74813,millimeter mercury column,mm hh
181,74293,milligram per 24 hours,mg/day
1324,73942,trillion per liter,10/12 l
1421,73809,score,SD
1657,73148,trillion per liter,X 10 12/L
559,72919,,Urine protein test negative
1426,72897,billion per liter,109l
1202,71326,per 24 hours,cig/day
800,70609,milligram per millimole of creatinine,mg/mmol CRT
838,70561,,{(stage)}
1309,70304,kilogram per square meter,K/M2
1282,70290,percent,percent
22120,70043,,
399,69586,score,points
311,69384,multiple of the median,MoM
1145,69041,millimole per liter,mmolL
1033,67059,trillion per liter,x 1012/l
1277,66264,thousand per liter,*10 3/L
603,65660,hour,h
1551,64690,per 24 hours,Ounces of tobacco/day
1119,64656,international unit per deciliter,IU/dL
352,63758,month,MONTHS
1327,63248,liter per liter,l/l.
394,62324,millimole per kilogram,mmol/kg
1344,62188,millipascal,mPa
373,62057,minute,minutes
245,61501,,pack years
1297,59475,degree Celsius,'C
33,58970,score,/60
280,58745,microgram per gram,ug/g faeces
222,58042,times,mod exercise
2,57719,percent hemoglobin,% HB
2372,57159,milliliter per minute per 1.73 square meter,ml/min/1.73sq.m.
1147,57151,per billion,x1O^9
835,56566,hour,Hours
1568,56461,kilocalorie per 24 hours,kcal/day
956,56395,trillion,10^12/
3139,56214,,......
809,54799,per trillion,X10*12
902,53941,liter per second,L/sec
951,53722,millimeter per hour,mm/1st Hr
2273,53609,milligram per millimole of creatinine,mg/mmol Cre
2161,53553,percent hemoglobin A1c,% Haemoglobin A
1316,53318,per 24 hours,/day current
994,53128,milliliter per minute per 1.73 square meter,ml/min/1.73msq
1307,52940,international unit per liter,IU/L 37C
4284,52466,,
819,52203,milliliter per minute per 1.73 meter,ml/min/1.73m
1249,52053,per 24 hours,/day Ex smoker
266,51754,,Serum electrolytes
1066,51552,milliliter per minute per 1.73 meter,mL/mn/1.73m
1414,51118,milli-international unit per liter,mlU/L
1271,50682,billion per liter,x10\S\9/L
426,50520,unit per milliliter,{U}/mL
2684,50433,microgram per milligram of creatinine,ug/mg creat.
403,50265,per 100 white blood cells,/100 WBC
192,50182,,Microbiology
1056,49794,parts per million,part/mill
324,49749,per cubic millimeter,per cmm
1537,49291,score,/17
679,49184,gram,g
1607,48667,,Errors
1594,48555,percent total,% of total
1394,47196,per 24 hours,No/Day
930,47182,microgram of fibrinogen equivalent unit per milliliter,ugFEU/ml
811,46952,milligram per kilogram,mg/kg
435,46608,,uU/mL
1261,46553,,xx
910,46316,millimeter per hour,mm 1st Hr
531,45895,unit,U
315,45893,milliliter,mls
2518,45886,percent,Haematocrit - PCV
1141,45101,nanogram per milliliter,ng/ml.
1530,45051,per 24 hours,portns/day
337,44909,micro-international unit per milliliter,uIU/ml
1502,44892,week,wks
1459,44453,,(bdsk u)
620,44089,score,/20
258,43668,parts per million,ppmCO
225,43127,millipascal second,mPa's
1050,42952,per 24 hours,a/day
1273,42331,picomole per liter,picomoles/l
3283,41662,kilogram,kilograms
114,41528,,Cervical smear-no inflammation
302,40860,trillion per liter,x10'12/l
11418,40616,,munit/L
376,40592,millimole per liter,mmo/L
36,39987,score,/8
22103,39864,,Ã¦mol/l
897,39773,,HbA1c
1264,39721,millimole per liter,MMLITRES
1710,39376,trillion per liter,X 10-12/l
1286,38820,times,times
404,38736,picogram per deciliter,pg/dL
333,38515,gram per 24 hours,g/d
1331,38408,trillion per liter,x10**12/l
284,38316,micromole per 24 hours,umol/24h
2758,38047,percent hemoglobin A1c,% (DCCT)
67,37901,the number ten,10
1021,37366,milliliter per minute per 1.73 square meter,ml/mn/1.73m2
1550,36670,milligram per millimole of creatinine,mg/mmol/creat
18932,36609,,ug Hb/g stool
1181,36551,trillion per liter,x10 12/l
61,36369,per 24 hours,{Units}/d
372,36320,nanomole per 24 hours,nmol/d
432,36315,meter,metres
823,36253,million per milliliter,10*6/mL
48,36125,unit,[arb'U]
853,36080,per week,no. per week
521,35985,ratio,R
893,35828,,(Measured)
1242,35665,milligram per millimole of creatinine,mg/mmol Cr
395,35547,per 24 hours,per/day
242,35536,,oz/week
1011,35193,millimeter per hour,mm/hr.
312,35021,milliosmole per kilogram,mOsm/Kg
150,34021,hour,Hrs
17360,33361,thousand per microliter,Thou/uL
1076,33074,degree Celsius,oC
1496,32777,per 24 hours,CIGARETTES PER DAY
1695,32728,milligram per millimole of creatinine,mg/mmol creatinine
4073,31834,,ppb
943,31760,degree Celsius,degrees celsius
788,31747,,Cervical smear:inadequate spec
390,31649,per high power field,/hpf
1315,31444,trillion per liter,10*12L
790,31288,millimeter mercury column,O/E - BP borderline raised
386,31168,micromole per 24 hours,umol/d
252,31153,picogram per liter,pg/l
1612,31149,milligram per millimole of creatinine,mg(Alb)/mmol(Creat)
1230,30958,millipascal second,mPa.s.
322,30841,per month,U/month
1311,30826,counts per minute,resp/min
1388,30692,billion per liter,10 ^9/L
526,30671,,Laboratory procedures
1944,30666,per second,/second
1019,30302,score,/16 (>2 signfic)
736,30089,per week,fits/week
1292,29913,per 24 hours,cigarettes a day
7048,29769,billion per liter,x 10?'9/l
999,29632,microliter,uL
928,29319,liter,ltrs
1904,29219,unit per week,units / week
802,29062,degree Celsius,deg C
1063,29048,trillion per liter,*10 12/l
1552,28760,milliliter per minute per 1.73 square meter,ml/min/m*2
3546,28750,,AST - aspartate transam.(SGOT)
146,28732,,Haematology
1509,28556,per 24 hours,units/day
1296,28309,,cigarettes
2245,28269,micromole per liter,ÃÂµmol/L
1005,28090,liter per second,L/S
1197,27981,billion per liter,x10^9/1
217,27919,millimole per 24 hours,mmol/24h
477,27649,millimeter mercury column,O/E - BP reading
185,27647,milligram per milliliter,mg/ml
864,27214,ratio,?:1
1223,27157,micromole,umol
693,27151,,Urinalysis = no abnormality
363,27139,millimeter per hour,MM /HR
2638,27054,score,/70
1184,26939,,units /week
274,26886,titer,titre
436,26868,per 24 hours,portions/day
97,26765,,a
270,26713,,Thyroid hormone tests
1585,26593,square meter,sq. m
1329,26538,femtoliter,fl.
400,26495,score,/42
2209,26410,unit per liter,ALT/SGPT serum level
234,26381,nanomole per 24 hours,nmol/24h
144,26281,,grade
3759,26177,millimeter mercury column,BP
317,26157,millimole per 24 hours,mmol/d
345,26081,pH,[pH]
101,25874,,angular degrees
747,25812,year,Yrs
2205,25752,,RBC dist width
12119,25632,milligram per millimole of creatinine,mg/mmol of creatinine
2526,25495,,PHF
411,25358,unit per milliliter,mU/mL
20565,24688,,breath/min
267,24610,millimole per liter,Serum lipids
1601,24426,trillion per liter,x10/12 l
959,24388,micromole per mole,umol/mol
504,24340,,Liver function tests - general
1268,24247,international unit per liter,lu/l
375,24245,gram per mole,g/molC
848,24242,,aemol/l
10963,24139,kilohertz,KHz
1498,23743,per hour,/hour
710,23608,,Full blood count normal
1154,23446,millimeter per hour,mm in 1 hour
393,23164,millimeter per hour,mm/1 Hour
847,23099,millimole per liter,mmol/1
840,22953,gram per deciliter,gm/dl
1911,22564,,","
351,22421,milliliter per minute per 1.73 meter,mL/mn/1.73
2690,22301,microgram per gram,ug/g.
318,22109,unit per deciliter,u/dl
1215,21890,micromole per mole of hemoglobin,umol/mol Haem
709,21889,,No.
751,21724,,International normalised ratio
7,21493,,+
2380,21387,parts per million,COppm
1671,21346,milliliter per minute per 1.73 square meter,ml/min(cor)
745,21220,liter per minute,1/minute
940,20902,inch (British),inches
917,20616,millimole per square meter,mmol/m
699,20609,,cells/cmm
132,20276,degree Celsius,degrees centigrade
423,20206,nanogram per liter,ng/Litre
4739,20135,,Target
975,19927,degree Celsius,Celcius
2290,19572,fraction,frac. of total
57,19192,,{log-unit}
1606,19178,trillion per liter,10e12/l
310,19156,cigarettes pack-years smoked during life,yrs@20cigs/day
972,19064,,severity
1844,19005,percent total,%Tot.
934,18938,,WBC/mL
1048,18915,per 24 hours,PUFFS/DAY
1532,18872,micromole per liter,uM/l
1238,18840,cells per microliter,cells/uL
3111,18833,,(bsa)
2262,18720,unit per week,Unt/Wk
406,18551,per cubic millimeter,/cu mm.
1641,18550,trillion,10/12/
5831,18464,,BL
927,18422,per 24 hours,ex cig/d
480,18251,per month,/month
1308,18240,cubic millimeter,mm^3
863,18183,kilopascal,kPa
1481,18090,microgram of fibrinogen equivalent unit per liter,ug/l FEU
918,18066,micromole per 24 hours,umol/24hr
1723,17556,millimeter mercury column,O/E - BP reading raised
8009,17550,,mg/kg stool
860,17512,percent hemoglobin,% total haemoglobin
293,17371,,Urea and electrolytes
1218,17307,degree Celsius,deg celcius
1310,17071,,(pu)
249,16952,percent,percentage unit
6131,16717,milligram per millimole of creatinine,mgALB/mmolCREAT
1764,16660,,Arbitrary
184,16607,milligram of fibrinogen equivalent unit per liter,mg/L FEU
1687,16572,heartbeat,beats /min
1455,16530,,mL/24h/1.73m*2
594,16527,,MSU = no abnormality
1677,16515,,HbA1c level
2776,16442,,Free T4 level
2358,16278,,O/E - weight NOS
3028,16267,ratio,total ratio
682,16236,unit per week,U/wk
175,16197,square meter,m2
2124,16060,,?
106,15937,,Blood chemistry
806,15913,per week,times per week
1288,15874,gram per liter,g/l.
1174,15859,degree Celsius,degrees celcius
1707,15851,degree Celsius,deg.C
573,15817,,High vaginal swab taken
2230,15808,,past cig/day
1620,15803,unit per week,upw
1326,15771,gram,grams
772,15766,,Blood sample -> Haematol Lab
2691,15663,,ZZ
820,15481,micromole per liter,umol//l
935,15436,degree Celsius,Centigrade
1295,15395,picogram,pg.
34,15333,score,/63
1949,15113,femtogram,fg
5688,15071,,Chemical function tests
996,14978,per week,per week
1391,14917,millimeter per hour,MM 1stH
8829,14806,,/40weeks
501,14757,,Blood sample -> Lab NOS
878,14750,,Children
1200,14605,kilogram per square meter,kg/m/m
1216,14464,,mcg
1171,14411,microgram per gram of hemoglobin,u/g(Hb)
1359,14408,liter per second,litres/sec
483,14378,,Serum cholesterol normal
1170,14292,,Flag)
3886,14283,,SI
486,14064,,Cerv.smear: borderline changes
1608,14061,microgram per liter,MICROGMS/L
2693,13978,,mm/l
1105,13950,nanomole per 24 hours,nmol/24hr
2165,13913,,rbc distribution
1941,13843,milligram,mgs
2228,13804,,Cervical Smear Adequate
824,13686,score,/48
2200,13644,per 24 hours,Ex/day
1866,13495,milligram per millimole,mg/mmo
1042,13460,,admissions
3705,13427,millimeter mercury column,O/E-blood pressure reading NOS
1198,13330,,Rast No.
970,13255,,eU/mL
2272,13223,millimeter mercury column,mmHgs
2386,13179,hour,hours fasting
7168,13157,,ug/g faec
1595,13064,millimole per liter,mmmol/l
839,12967,liter,Liters
58,12947,ratio,{ratio}
3524,12942,,MSU sent for C/S
616,12878,,{pack-years}
1061,12806,millipascal,mPA @ 25C.
2068,12754,parts per million,(ppm)
465,12715,,Urine exam. - general
17379,12679,,fl...
8825,12677,,in 12m
142,12537,unit per milliliter,GPL U/ml
119,12537,per 24 hours,cigs/d
1960,12520,score,/14
666,12473,microgram per liter,mcg/l
496,12408,degree,degrees
1173,12403,per year,per year
968,12380,gram per liter,#G ( )/L
1898,12347,milliliter per 24 hours,mls/day
1375,12275,,#/[tot]
1896,12245,milliliter per minute per 1.73 square meter,mL/min/1.73 sq m
2886,12169,,as
1343,12153,per month,/mth
2226,12145,,Cytology Report Normal
9118,12092,,(stage)
149,12086,,hours/day
1046,12060,second,sec.
1591,11997,,Ca cervix screen-no result yet
2824,11971,millimole per mole of hemoglobin,mmol/mmHb
637,11964,,pts
1084,11925,cubic millimeter,mm3
297,11855,microunit per liter,uU/L
1373,11844,million per liter,x 10*6/l
1088,11833,,mm fall in 1 hour
1262,11805,per 100 white blood cells,per 100 WBC
2858,11694,,portions/week
1290,11646,,Urine protein test not done
342,11631,millimole per 24 hours,mmol/24hr
1289,11570,picomole per liter,pmols/l
1280,11527,percent,Red blood cell distribution width
1429,11377,,exacs in past yr
1075,11334,,Days/Month
1950,11332,,mUl/l
268,11267,Bone DXA Calcaneus [T-score] Bone density,T-score
1769,11246,trillion per liter,x 10^12/
1334,11184,,uugm.ml
1090,11128,,10x9/l
369,11046,,ml/day
1397,10944,,{AI}
429,10942,,units/ml
795,10939,,mms/hr
1837,10904,,Cervical smear due
143,10903,,GPLU/ml
2258,10866,milliliter per minute per 1.73 square meter,ml/min(cor
961,10803,,{CPMS}
7145,10765,risk,QRISK
2799,10765,billion per liter,10*9/
1128,10747,score,AUDIT C Alcohol Score
1863,10687,centimeter,centimetres
459,10617,,Cerv.smear: mild dyskaryosis
1314,10609,,Urine glucose test not done
1161,10594,microgram of fibrinogen equivalent unit per milliliter,ug/mlFEU
954,10544,per year,/yr
4220,10493,,Lipoprotein electroph. - HDL
2863,10477,score,/47
2139,10415,millimeter per hour,mm per hour
221,10296,,mo
1682,10187,,weeks.days
787,10148,,cigars/day (past)
1382,10127,,ug/min
7344,10116,percent,%predicted
552,10053,,Blood sample -> Biochem Lab
1007,9950,copies per milliliter,cpy/mL
2397,9837,,s/s
1625,9816,microgram per liter,MICROGRAM/L
1302,9807,,Elisa Units
424,9766,,falls
170,9765,,Liver function tests
750,9735,unit,{units}
2506,9721,,year stopped
6289,9571,per square meter,per metre square
921,9545,,log unit
325,9534,degree,deg
22,9524,score,/26
331,9499,,k{U}/L
1340,9480,,day score
1211,9479,,times/wk
1338,9458,,CIGS
3071,9456,,pack-yr
831,9435,,Urine not examined
1180,9429,liter per minute,LIT/MIN
499,9399,,MSU = abnormal
190,9376,milligram per millimole of creatinine,mg/mmolcreat
2854,9302,,ug/g (faeces)
1621,9287,,(knk u)
1389,9246,,times in 1 wk
2286,9207,nanogram of fibrinogen equivalent unit per milliliter,ng/mLFEU
965,9206,,night score
1112,9119,,yrs old
1179,9093,,Cups per day
1697,9067,percent,Hb. A1C 7-10% - borderline
12721,9036,,ug Hb/g Faeces.
7144,8942,per 24 hours,/ day
976,8942,,GBP
2084,8861,,nil
1870,8856,international unit per liter,H IU/L
228,8834,,MSU - general
1405,8826,,exac last 12m
113,8726,,Cervical smear action NOS
1963,8724,,lm/m2
1447,8719,,monthly
993,8648,,i/units
1260,8634,per cubic millimeter,/cu mm
1954,8633,,(cfU)
899,8621,nanomole per mole,nmol/mmol
22121,8612,billion per liter,%  x10^9/l
1253,8603,,daily
635,8557,,Electrolytes normal
815,8537,,BILIRUBIN
1805,8498,,l/min (Eu)
1965,8484,score,/41
1419,8484,,x 10*9/LR
4466,8470,,GDL
932,8446,milligram per 24 hours,mg/d
2682,8424,per 24 hours,Cig/Dy
1321,8390,unit per milliliter,MPL U/ml
1123,8384,,total
2771,8367,,ltr/min
752,8346,,Thyroid hormone tests normal
576,8337,,Liver function tests normal
969,8277,per 24 hours,times per day
2172,8261,,mins per day
1104,8246,microgram per liter,microgrms/l
1408,8127,,courses
2411,8117,unit per liter,Units/litre
1760,8102,,ug/g stool
