0,1,2,3
hes,146 Litres,magnitude,146
hes,146 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,157 Litres,magnitude,157
hes,157 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,163 Litres,magnitude,163
hes,163 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,165 Litres,magnitude,165
hes,165 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,166 Litres,magnitude,166
hes,166 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,173 Litres,magnitude,173
hes,173 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,175 Litres,magnitude,175
hes,175 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,230 Litres,magnitude,230
hes,230 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,235 Litres,magnitude,235
hes,235 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,240 Litres,magnitude,240
hes,240 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,242 Litres,magnitude,242
hes,242 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,277 Litres,magnitude,277
hes,277 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,346 Litres,magnitude,346
hes,346 Litres,unit,"['liter', 'L', 'litre', 'l']"
hes,4 cuft,magnitude,4
hes,4 cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,8 cuft,magnitude,8
hes,8 cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,2cuft,magnitude,2
hes,2cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,6cuft,magnitude,6
hes,6cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,12cuft,magnitude,12
hes,12cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,14.1cuft,magnitude,14.1
hes,14.1cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,113cuft,magnitude,113
hes,113cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,140cuft,magnitude,140
hes,140cuft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,7 CUFT,magnitude,7
hes,7 CUFT,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,105Cu,magnitude,105
hes,105Cu,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,7cf,magnitude,7
hes,7cf,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,14.4cu.ft,magnitude,14.4
hes,14.4cu.ft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
hes,1ft x 1ft x1ft,magnitude,1
hes,1ft x 1ft x1ft,unit,"['cu. ft.', 'cu ft', 'ft³', 'cubic feet', 'cu foot', 'cu feet', 'cubic foot']"
phm,.1 mm,magnitude,0.1
phm,.1 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,.25 m.,magnitude,0.25
phm,.25 m.,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,.40 mm,magnitude,0.4
phm,.40 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,.75 m,magnitude,0.75
phm,.75 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,0.025 mm,magnitude,0.025
phm,0.025 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,0.05 kg,magnitude,0.05
phm,0.05 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,0.10 m,magnitude,0.1
phm,0.10 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,0.35 m,magnitude,0.35
phm,0.35 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,0.40 m,magnitude,0.4
phm,0.40 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,0.5 mm,magnitude,0.5
phm,0.5 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,0.75 mm,magnitude,0.75
phm,0.75 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,0.758 m,magnitude,0.758
phm,0.758 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,0.8 mm,magnitude,0.8
phm,0.8 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,0.80 m,magnitude,0.8
phm,0.80 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,006 mm,magnitude,6
phm,006 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,007 mm,magnitude,7
phm,007 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,015 mm,magnitude,15
phm,015 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,016 mm,magnitude,16
phm,016 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1 kg,magnitude,1
phm,1 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,1 m,magnitude,1
phm,1 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,1 mm,magnitude,1
phm,1 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.149 m.,magnitude,1.149
phm,1.149 m.,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,1.3 kg,magnitude,1.3
phm,1.3 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,1.3 mm,magnitude,1.3
phm,1.3 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.4 kg,magnitude,1.4
phm,1.4 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,1.5 g,magnitude,1.5
phm,1.5 g,unit,"['gram', 'g', 'gm', 'gramme', 'grams']"
phm,1.5 mm,magnitude,1.5
phm,1.5 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.5 mm\,magnitude,1.5
phm,1.5 mm\,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.6 m,magnitude,1.6
phm,1.6 m,unit,"['metre', 'm', 'meters', 'metres', 'meter']"
phm,1.65 mm,magnitude,1.65
phm,1.65 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.74 mm,magnitude,1.74
phm,1.74 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1.8 kg,magnitude,1.8
phm,1.8 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,10 kg,magnitude,10
phm,10 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,10 mm,magnitude,10
phm,10 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10.4 gm,magnitude,10.4
phm,10.4 gm,unit,"['gram', 'g', 'gm', 'gramme', 'grams']"
phm,100 kg,magnitude,100
phm,100 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,100 mm,magnitude,100
phm,100 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1000 kg,magnitude,1000
phm,1000 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,1000 mm,magnitude,1000
phm,1000 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10000 mm,magnitude,10000
phm,10000 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1002 mm,magnitude,1002
phm,1002 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1003 mm,magnitude,1003
phm,1003 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1004 mm,magnitude,1004
phm,1004 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1005 mm,magnitude,1005
phm,1005 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10050 mm,magnitude,10050
phm,10050 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1008 mm,magnitude,1008
phm,1008 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1009 mm,magnitude,1009
phm,1009 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,101 cm,magnitude,101
phm,101 cm,unit,"['centimetre', 'cm', '㎝', 'centimeter']"
phm,101 mm,magnitude,101
phm,101 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1010 mm,magnitude,1010
phm,1010 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1011 mm,magnitude,1011
phm,1011 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1012 mm,magnitude,1012
phm,1012 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1013 mm,magnitude,1013
phm,1013 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1014 mm,magnitude,1014
phm,1014 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1015 mm,magnitude,1015
phm,1015 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10150 mm,magnitude,10150
phm,10150 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1016 mm,magnitude,1016
phm,1016 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1017 mm,magnitude,1017
phm,1017 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1018 mm,magnitude,1018
phm,1018 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,102 cm,magnitude,102
phm,102 cm,unit,"['centimetre', 'cm', '㎝', 'centimeter']"
phm,102 mm,magnitude,102
phm,102 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1020 mm,magnitude,1020
phm,1020 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1022 mm,magnitude,1022
phm,1022 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1023 mm,magnitude,1023
phm,1023 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1025 mm,magnitude,1025
phm,1025 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1026 mm,magnitude,1026
phm,1026 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1027 mm,magnitude,1027
phm,1027 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1028 mm,magnitude,1028
phm,1028 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1029 mm,magnitude,1029
phm,1029 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,103 mm,magnitude,103
phm,103 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1030 mm,magnitude,1030
phm,1030 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1032 mm,magnitude,1032
phm,1032 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1033 mm,magnitude,1033
phm,1033 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1035 mm,magnitude,1035
phm,1035 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1039 mm,magnitude,1039
phm,1039 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,104 mm,magnitude,104
phm,104 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,104.6 gm,magnitude,104.6
phm,104.6 gm,unit,"['gram', 'g', 'gm', 'gramme', 'grams']"
phm,1040 mm,magnitude,1040
phm,1040 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1043 mm,magnitude,1043
phm,1043 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1044 mm,magnitude,1044
phm,1044 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1045 mm,magnitude,1045
phm,1045 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,105 mm,magnitude,105
phm,105 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1050 kg,magnitude,1050
phm,1050 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,1050 mm,magnitude,1050
phm,1050 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1051 mm,magnitude,1051
phm,1051 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1052 mm,magnitude,1052
phm,1052 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1053 mm,magnitude,1053
phm,1053 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1054 mm,magnitude,1054
phm,1054 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1055 mm,magnitude,1055
phm,1055 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10560 mm,magnitude,10560
phm,10560 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1058 mm,magnitude,1058
phm,1058 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,106 mm,magnitude,106
phm,106 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1060 mm,magnitude,1060
phm,1060 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1063 mm,magnitude,1063
phm,1063 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1064 mm,magnitude,1064
phm,1064 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1065 mm,magnitude,1065
phm,1065 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1066 mm,magnitude,1066
phm,1066 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10660 mm,magnitude,10660
phm,10660 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1067 mm,magnitude,1067
phm,1067 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1068 mm,magnitude,1068
phm,1068 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,107 mm,magnitude,107
phm,107 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1070 mm,magnitude,1070
phm,1070 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1071 mm,magnitude,1071
phm,1071 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1072 mm,magnitude,1072
phm,1072 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1074 mm,magnitude,1074
phm,1074 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,10740 mm,magnitude,10740
phm,10740 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1075 mm,magnitude,1075
phm,1075 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1076 mm,magnitude,1076
phm,1076 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,108 mm,magnitude,108
phm,108 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1080 mm,magnitude,1080
phm,1080 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1085 mm,magnitude,1085
phm,1085 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1088 mm,magnitude,1088
phm,1088 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,109 mm,magnitude,109
phm,109 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1090 mm,magnitude,1090
phm,1090 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1092 mm,magnitude,1092
phm,1092 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1093 mm,magnitude,1093
phm,1093 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1094 mm,magnitude,1094
phm,1094 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1095 mm,magnitude,1095
phm,1095 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1097 mm,magnitude,1097
phm,1097 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11 kg,magnitude,11
phm,11 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,11 mm,magnitude,11
phm,11 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11.5 cm,magnitude,11.5
phm,11.5 cm,unit,"['centimetre', 'cm', '㎝', 'centimeter']"
phm,11.5 kg,magnitude,11.5
phm,11.5 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,110 kg,magnitude,110
phm,110 kg,unit,"['kilogram', 'kg', 'kilogramme', 'kilo', 'kilograms']"
phm,110 mm,magnitude,110
phm,110 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1100 mm,magnitude,1100
phm,1100 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11000 mm,magnitude,11000
phm,11000 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1105 mm,magnitude,1105
phm,1105 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1107 mm,magnitude,1107
phm,1107 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,111 mm,magnitude,111
phm,111 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1110 mm,magnitude,1110
phm,1110 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1112 mm,magnitude,1112
phm,1112 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1113 mm,magnitude,1113
phm,1113 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11130 mm,magnitude,11130
phm,11130 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1114 mm,magnitude,1114
phm,1114 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1115 mm,magnitude,1115
phm,1115 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1116 mm,magnitude,1116
phm,1116 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1117 mm,magnitude,1117
phm,1117 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1118 mm,magnitude,1118
phm,1118 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11180 mm,magnitude,11180
phm,11180 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,112 mm,magnitude,112
phm,112 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1120 mm,magnitude,1120
phm,1120 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1121 mm,magnitude,1121
phm,1121 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11230 mm,magnitude,11230
phm,11230 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1125 mm,magnitude,1125
phm,1125 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1126 mm,magnitude,1126
phm,1126 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,113 mm,magnitude,113
phm,113 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,113.2 gm,magnitude,113.2
phm,113.2 gm,unit,"['gram', 'g', 'gm', 'gramme', 'grams']"
phm,1130 mm,magnitude,1130
phm,1130 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1132 mm,magnitude,1132
phm,1132 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1133 mm,magnitude,1133
phm,1133 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1135 mm,magnitude,1135
phm,1135 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1138 mm,magnitude,1138
phm,1138 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,114 mm,magnitude,114
phm,114 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1140 mm,magnitude,1140
phm,1140 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11400 mm,magnitude,11400
phm,11400 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1143 mm,magnitude,1143
phm,1143 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1145 mm,magnitude,1145
phm,1145 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1147 mm,magnitude,1147
phm,1147 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,115 mm,magnitude,115
phm,115 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1150 gm,magnitude,1150
phm,1150 gm,unit,"['gram', 'g', 'gm', 'gramme', 'grams']"
phm,1150 mm,magnitude,1150
phm,1150 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1152 mm,magnitude,1152
phm,1152 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11520 mm,magnitude,11520
phm,11520 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1155 mm,magnitude,1155
phm,1155 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,116 mm,magnitude,116
phm,116 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1160 mm,magnitude,1160
phm,1160 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,11600 mm,magnitude,11600
phm,11600 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1162 mm,magnitude,1162
phm,1162 mm,unit,"['millimetre', 'mm', 'millimeter', 'millimeters']"
phm,1163 mm,magnitude,1163
