numunitid,Description
322,U/month
323,10^9
324,per cmm
325,deg
326,litres/minute
327,x10 12
328,nmol/24 Hr
329,fraction
330,apcr
331,k{U}/L
332,mmol
333,g/d
334,/L
335,x 10^9/litre
336,RBC/Blood
337,uIU/ml
338,y
339,pregnancies
340,nmol/24hours
341,x10e12/l
342,mmol/24hr
343,bpm
344,mL/min/1.73*2
345,[pH]
346,AU
347,10*-2
348,MicroU/L
349,ml/s/m^2
350,sec
351,mL/mn/1.73
352,MONTHS
353,dB
354,mOsm/kgH2O
355,% of Hb
356,g/Day
357,mOsm/kgH20
358,/100(WBC)
359,Kg/m?
360,pg/cl
361,\meddata\s6000\document\Apollo\2013\10\Document 13
362,pmol
363,MM /HR
364,femto L
365,mg/mmol (creat)
366,mm/1Hr
367,*10^12/l
368,x10
369,ml/day
370,KUa/L
371,kiu/L
372,nmol/d
373,minutes
374,umol/day
375,g/molC
376,mmo/L
377,mLs/min
378,/cu/mm.
379,per hpf
380,units per week
381,degC
382,Undefined
383,ml/24 hr
384,mPa/s
385,mosmol/L
386,umol/d
387,m[iU]/mL
388,roll ups per day
389,10^12
390,/hpf
391,x10^6/L
392,x10 9/
393,mm/1 Hour
394,mmol/kg
395,per/day
396,m{U}/L
397,ml/min/1.73 m2
398,/100
399,points
400,/42
401,x10e6/L
402,Celsius
403,/100 WBC
404,pg/dL
405,UNKNOWN UNITS
406,/cu mm.
407,10*3/mL
408,cms
409,U//L
410,mIU/ml
411,mU/mL
412,index
413,x10^12
414,10*12/
415,/cu/mm
416,10^3/uL
417,[iU]/dL
418,fits/yr
419,pounds
420,k{UA}/L
421,.
422,U/Litre
423,ng/Litre
424,falls
425,mEq/L
426,{U}/mL
427,mosm/kg{H2O}
428,x 10*12/L
429,units/ml
430,40
431,x10^9
432,metres
433,x10e9/l
434,INR
435,uU/mL
436,portions/day
437,U/monthly
438,Hepatitis B immunity test
439,oz/week (past)
440,g/mmol Cr
441,Examination of faeces
442,20 a day
443,oz/wk (past)
444,3
445,Vaginal vault smear negative
446,Sperm analysis
447,Cervical smear result
448,Immunoglobulins
449,mL/min/1.73sqm
450,CIN II - moderate dyskaryosis
451,Sputum examination
452,Serum pregnancy test (B-HCG)
453,Influenza A antibody level
454,nanograms/ml
455,O/E - blood pressure reading
456,Ejaculate volume
457,Blood glucose method
458,Serum IgM anticardiolipins level
459,Cerv.smear: mild dyskaryosis
460,Liver function test
461,Sample: direct micr. organism
462,Urine urobilinogen test
463,Blood group O
464,Faeces colour: pale
465,Urine exam. - general
466,Male sex hormones - serum
467,HIV negative
468,Rubella antibody absent
469,Haematology result abnormal
470,Urine protein test = +++
471,{spliffs}/d
472,Catheter urine -> culture.
473,Serum T4 level
474,Sample sent for culture/sensit
475,/a
476,Urine inspection NOS
477,O/E - BP reading
478,cigarettes / day
479,Eosinopenia
480,/month
481,Serum vitamin B12
482,Thyroid function tests normal
483,Serum cholesterol normal
484,Hb estimation
485,Visual Acuity
486,Cerv.smear: borderline changes
487,wbc
488,Urine dipstick test
489,Mid-stream urine sample
490,Serum uric acid
491,Serum amylase (pancreatic)
492,Rhesus positive
493,Folate blood level
494,Haematology result normal
495,Urine micr.:leucocytes present
496,degrees
497,Smell - faeces
498,Urethral swab taken
499,MSU = abnormal
500,Swab - skin
501,Blood sample -> Lab NOS
502,Rubella antibody titre
503,Urine microscopy:RBC's present
504,Liver function tests - general
505,umol/mol (Hb)
506,Blood drug levels
507,Glycated haemoglobin
508,Rubella IgG level
509,Full blood count abnormal
510,Cervical smear - herpes
511,Urine test for glucose
512,Amniotic fluid AFP normal
513,weeks gestation
514,Urine exam. - general NOS
515,O/E - blood pressure
516,Coombs test
517,Serum vitamin B12 low
518,Cerv.smear: mod.dyskaryosis
519,rollups per day
520,Liver enzymes
521,R
522,Helicobacter pylori antibody level
523,TPHA/T pallidum haemagglutinat
524,Autoantibody titres NOS
525,Inf mononucleos test positive
526,Laboratory procedures
527,Blood sample -> Microbiol Lab
528,Blood group B
529,Renal function tests
530,Paul Bunnell test
531,U
532,Coagulation tests
533,Protein electrophor. abnormal
534,Thyroid function tests
535,Thyroid function test
536,Blood group A
537,Chlamydia antigen test
538,Electrolytes abnormal
539,Rheumatoid factor positive
540,ugEl/g stool
541,Blood magnesium
542,Helicobacter serology positive
543,CLO test positive
544,Serum beta 2 microglobulin level
545,Lab. test result normal
546,Sample sent for mycology
547,Semen analysis
548,Faeces colour
549,Cervical smear - trichomonas
550,Prostate specific antigen
551,Serum pregnancy test NOS
552,Blood sample -> Biochem Lab
553,CK - creatine kinase level
554,L/d
555,Faeces occult blood test
556,Blood chemistry abnormal
557,Sample: fungus isolated
558,^iu/mL
559,Urine protein test negative
560,Thyroid autoantibodies
561,Gonadotrophin levels
562,Urine sample sent to Lab
563,10*-9.m
564,Syphilis titre test positive
565,Immunology
566,U/night
567,Dyskaryosis on cervical smear
568,BMI
569,Ear swab
570,Rhesus negative
571,Investigation-laboratory
572,Blood urate normal
573,High vaginal swab taken
574,Liver function tests abnormal
575,1 day
576,Liver function tests normal
577,Plasma viscosity normal
578,Platelet count normal
579,Sample serology
580,GUT sample taken for organism
581,Rubella antib. present -immune
582,15
583,Red cell G6PD level
584,Serum lipids normal
585,x 10^9/l
586,Infectious titres NOS
587,CLO test negative
588,Sample: no organism cultured
589,Phenytoin: blood level
590,Sample: bacteria cultured
591,Serum lithium level
592,ASO - antistreptolysin O titre
593,Faeces examined - normal
594,MSU = no abnormality
595,iu/wk
596,Sputum sent for C/S
597,Urine amino acids
598,Serum sodium valproate level
599,Cerv.smear:severe dysk.?inv.ca
600,Urine albumin
601,Autoantibody titres
602,Cervical smear - inflam.change
603,h
604,Fungus on microscopy
605,Blood test due
606,SH-antigen negative
607,Urine protein test = +
608,Syphilis titre test negative
609,Urea - blood
610,Gonorrhoea titre test
611,Urinalysis requested
612,Skin scrapings taken
613,Urine bilirubin
614,Faecal occult blood test
615,mm/1 hr
616,{pack-years}
617,Urine pregnancy test negative
618,Female sex hormones - serum
619,Test - laboratory
620,/20
621,Thrombocytopenia
622,Blood urate
623,million/milliliter
624,Glucose tolerance test
625,O/E - overweight
626,Stool sample for C/S
627,Blood group AB
628,Serum folate low
629,years old
630,umol/mol Hb
631,TSH level
632,Renal function tests normal
633,Coag./bleeding tests abnormal
634,Toxicology - blood
635,Electrolytes normal
636,Coagulation/bleeding tests
637,pts
638,Urine protein
639,Alpha-feto protein raised
640,Skin ulcer swab taken
641,Cervical smear - wart virus
642,Sample - microbiological exam
643,"Swab - ENT, sent"
644,Hepatitis B immune
645,Cervical smear - action needed
646,Coag./bleeding tests normal
647,Serum lipids high
648,rbc
649,Synovial fluid sample
650,Serum ferritin
651,mmol/min/kPa/L
652,Faeces examination - general
653,mL/min/uSA
654,Pre-treatment BP reading
655,Serum IgG anticardiolipins level
656,g/dL.
657,Kg/mÂ²
658,Urine test due
659,pmol/h/mL
660,Lab. test result abnormal
661,Serum growth hormone
662,Cervical smear - actinomyces
663,Virus: serology
664,CA153 level
665,Plasma glucose level
666,mcg/l
667,CIN III - severe dyskaryosis
668,Urinalysis = abnormal
669,VDRL (syphilis) titre
670,Sample: no bacteria cultured
671,30
672,mmols
673,/cu.mm
674,Urine inspection
675,O/E - BP reading low
676,Serum globulin
677,Unit
678,Urine glucose test = +
679,g
680,Urine urate
681,Urine glucose test negative
682,U/wk
683,Hb. A1C - diabetic control NOS
684,Eye swab taken
685,Serum carbamazepine level
686,Legionella antibody test
687,Throat swab
688,units=*
689,Clotting tests
690,Urinalysis - general
691,Blood sugar result
692,Blood chemistry normal
693,Urinalysis = no abnormality
694,Cervical swab taken
695,Sample: mycology - general
696,Serum digoxin level
697,Blood folate
698,Rheumatoid factor
699,cells/cmm
700,Plasma viscosity NOS
701,Serum testosterone
702,Lipids abnormal
703,cigars/day
704,Cervical smear - inflam. NOS
705,Rheumatoid factor negative
706,Fasting blood lipids
707,x 10^12/l
708,Blood hyperglycaemia NOS
709,No.
710,Full blood count normal
711,Syphilis infectious titre test
712,Blood chemistry - general
713,Pleural fluid exam.- general
714,x10^9 /L
715,Anti-nuclear factor
716,Throat swab taken
717,Serum cholesterol raised
718,Urine pregnancy test positive
719,Semen examination
720,Vaginal swab taken
721,min
722,Intrinsic factor antibody screen
723,HTLV-3 antibody negative
724,Serum lipids NOS
725,Specimen sent for histology
726,Cardiac enzymes
727,RBC's - macrocytic
728,weekly
729,Sample: fungus not isolated
730,Urine glucose test = trace
731,Urine ketone test
732,Chr.dis.-drug compliance check
733,Hb. A1C < 7% - good control
734,Blood urate raised
735,Euthyroid
736,fits/week
737,Blood hormone levels NOS
738,CIN I - mild dyskaryosis
739,square cm
740,Sample: organism cultured
741,Varicella-zoster IgG level
742,Peak flow rate
743,Schilling test
744,Urine culture - Bacteria OS
745,1/minute
746,Urine calcium
747,Yrs
748,Digoxin: blood level
749,Lab. procedure - general - NOS
750,{units}
751,International normalised ratio
752,Thyroid hormone tests normal
753,Cerv.smear: severe dyskaryosis
754,Swab sent to Lab
755,Sample: no organism isolated
756,Wound swab
757,umol/mol (
758,10/L
759,Ca cervix screen abnormal
760,Blood grouping
761,^
762,Inf mononucleos test negative
763,Seminal examination
764,minute
765,Feto/placent. hormones abnorm.
766,/year (3rd party help)
767,Urine HCG titre
768,Prolactin level
769,Serum glucose level
770,Alpha-feto protein normal
771,Urine for culture
772,Blood sample -> Haematol Lab
773,Total sperm count
774,Urine culture - no growth
775,Urine protein test = ++
776,5
777,meters
778,Skin wound swab taken
779,Hyperuricaemia
780,Awaiting results
781,Urine examination
782,Serum vitamin B12 normal
783,Serum iron tests
784,Cerv.smear - viral infl.unsp.
785,CLO test for helicobacter pylori
786,Serum folate
787,cigars/day (past)
788,Cervical smear:inadequate spec
789,Blood urea normal
790,O/E - BP borderline raised
791,days / month
792,Refused
793,mg/24 h
794,mmol/24hrs
795,mms/hr
796,nmol/24hrs
797,cmm
798,doses/day
799,admissions/year
800,mg/mmol CRT
801,oCel
802,deg C
803,{cells}/uL
804,/12 (5+ signficant)
805,umol/24
806,times per week
807,UG/DAY
808,mins
809,X10*12
810,cms.
811,mg/kg
812,{of-cycle}
813,per uL
814,mg/24hrs
815,BILIRUBIN
816,mol/L
817,g/24hrs
818,33
819,ml/min/1.73m
820,umol//l
821,X10*9
822,18.5-24.9
823,10*6/mL
824,/48
825,mls/min/1.73 m2
826,10*3/L
827,Kgs
828,mL/kg
829,(Calculated)
830,umol/24hours
831,Urine not examined
832,ug/ml
833,LSU
834,nmol/g
835,Hours
836,GPL units/mL
837,x10^12/
838,{(stage)}
839,Liters
840,gm/dl
841,x per week
842,PR
843,42
844,breaths per min
845,Cigs per day
846,g/24 ho
847,mmol/1
848,aemol/l
849,%Hb
850,/40 (8+ significant)
851,Tel:
852,iu/L(37C)
853,no. per week
854,mm in 1 hr
855,ug/24 h
856,O/E - BP reading normal
857,mg/mmol Creat.
858,GPLU
859,1/minutes
860,% total haemoglobin
861,mL/min/1.73m\S\2
862,10*9
863,kPa
864,?:1
865,kAU/L
866,/h
867,Secs.
868,everyday
869,12
870,/1.5
871,g/24hr
872,umol/24hrs
873,L/Min EN 13826
874,score:
875,age
876,ug/24hrs
877,mg/mg
878,Children
879,IFCCmmol/mol
880,month
881,{eU}/mL
882,Au/ml
883,MPLU
884,x10\S\9l
885,ml/min (cor)
886,mls/min/sa
887,times/month
888,Beats per min
889,births
890,(1
891,1 or 2 times a week
892,mmol/molHb
893,(Measured)
894,x10\S\12l
895,/mm*3
896,MPL units/mL
897,HbA1c
898,See below
899,nmol/mmol
900,yrs@20/day
901,visits
902,L/sec
903,10^6/ejaculate
904,w
905,/mmHg
906,every day
907,kg/m^2
908,Research Unique No.
909,x10^9/
910,mm 1st Hr
911,mL/m/1.73m
912,DCCT %
913,of cycle
914,x10^6
915,* 10^9/l
916,mmol/mol HbA0
917,mmol/m
918,umol/24hr
919,mmol/24
920,%CV
921,log unit
922,UMOL/24 HOUR
923,Unknown
924,MSU sent to lab.
925,/ month
926,per diem
927,ex cig/d
928,ltrs
929,DEGREE C
930,ugFEU/ml
931,secs/secs
932,mg/d
933,*10 9/l
934,WBC/mL
935,Centigrade
936,83
937,AI
938,days off
939,MCG/ML
940,inches
941,deg. C
942,(0 - 27)
943,degrees celsius
944,10x12/l
945,"h1,ok2,g3"
946,/6 months
947,ref
948,#NAME?
949,pmol/mU
950,iu(neph)
951,mm/1st Hr
952,x 10 ^12/l
953,units/l
954,/yr
955,number/year
956,10^12/
957,f/L
958,Anxiety Score
959,umol/mol
960,units/per week
961,{CPMS}
962,*10^5/ml
963,mm/1stHr
964,Days/Missed
965,night score
966,mcg/day
967,10*-3%
968,#G ( )/L
969,times per day
970,eU/mL
971,gms
972,severity
973,severity/10
974,k[iU]/L
975,Celcius
976,GBP
977,o C
978,mPas @ 25 deg.C
979,quantity
980,PEFR/PFR
981,;
982,x10-12/L
983,Faeces: fresh blood present
984,[oz_av]/d
985,iu/d
986,Not given
987,x10^12/1
988,mM/24H
989,ratio 0
990,nights stayed
991,nights
992,RBC/whole blood
993,i/units
994,ml/min/1.73msq
995,% Sat
996,per week
997,mmol/save
998,L/save
999,uL
1000,x10\S\91
1001,(od)
1002,Number per week
1003,1 - 2 per month = 1
1004,< x sec
1005,L/S
1006,deg Celsius
1007,cpy/mL
1008,^C
1009,10*3{rbc}
1010,umol/h/g(Hb)
1011,mm/hr.
1012,nebuliser doses
1013,/s
1014,units pw
1015,portion per day
1016,380
1017,total mcg/day
1018,10*6/uL
1019,/16 (>2 signfic)
1020,/3 Months
1021,ml/mn/1.73m2
1022,per mth
1023,nmol/Day
1024,Puffs/24 hours
1025,days/3 mths
1026,Vulval swab taken
1027,cp @25 deg.C
1028,cups
1029,{od}
1030,NUMBER
1031,mM/M
1032,step
1033,x 1012/l
1034,x10 9/l
1035,mm1st hr
1036,1/week
1037,PFR
1038,/mm
1039,ml/min/bsa
1040,58
1041,1/mL
1042,admissions
1043,% total Hb
1044,--
1045,10/9 l
1046,sec.
1047,-
1048,PUFFS/DAY
1049,mPas
1050,a/day
1051,mm/1h
1052,AUDIT score
1053,4258
1054,% best pefr
1055,Free Androgen Index
1056,part/mill
1057,cm.
1058,mm 1st h
1059,cups/day
1060,10/9 l(37.3%)
1061,mPA @ 25C.
1062,deg. C.
1063,*10 12/l
1064,/40 alc score
1065,Days off/month
1066,mL/mn/1.73m
1067,DAYS OFF WORK/SCHOOL IN LAST YEAR
1068,21
1069,lit/sec
1070,per minute
1071,9
1072,x10*6/L
1073,times / week
1074,copies/ml
1075,Days/Month
1076,oC
1077,hours/minutes
1078,since last clinic
1079,Not Detected
1080,deg Cent
1081,X 10^9/1
1082,times/weekly
1083,* 10^12/L
1084,mm3
1085,mL/min/1.73^2
1086,social
1087,Fasting
1088,mm fall in 1 hour
1089,cig't/day
1090,10x9/l
1091,U/year
1092,ml/24hr
1093,Partners
1094,% WBC
1095,Hours ago
1096,units per wk
1097,mg/g faeces
1098,10/9 l(5.95%)
1099,mg/mmol{creat}
1100,l/min(old)
1101,s.
1102,x10^12 /l
1103,x 10e9/litre
1104,microgrms/l
1105,nmol/24hr
1106,puffs/week
1107,degrees centrigrade
1108,ug/dL
1109,%SpO2
1110,Occasional
1111,x10 6/l
1112,yrs old
1113,x 109/l
1114,Hrs/Minutes
1115,inhalers/year
1116,nights per wk in last mnth
1117,times used/week
1118,litres per min
1119,IU/dL
1120,l minute
1121,activity score
1122,g/save
1123,total
1124,b/m
1125,Attacks
1126,U/2WEEKS
1127,puffs/wk
1128,AUDIT C Alcohol Score
1129,10*6L
1130,days/year
1131,10\S\9/L
1132,x10\S\12/L
1133,x10**9/l
1134,Schilling test -B12 absorption
1135,Urine blood test = negative
1136,10 12/
1137,Urine sample for organism
1138,Atks/Yr
1139,/mm3
1140,mPa.s at 25C
1141,ng/ml.
1142,mmol/mol creat.
1143,Night symptom score
1144,mm in 1 hr.
1145,mmolL
1146,10/9 l(9.63%)
1147,x1O^9
1148,th
1149,eu
1150,=
1151,fmol
1152,AU/L
1153,10/9 l(45.7%)
1154,mm in 1 hour
1155,(Unknown)
1156,*10^6/cumm
1157,menUnd
1158,U/ml^U/ml
1159,days per year
1160,episodes/yr
1161,ug/mlFEU
1162,treatments
1163,week(s)
1164,titre (A)
1165,GPL
1166,% predicted pefr
1167,g/100ml
1168,CV%
1169,secs;
1170,Flag)
1171,u/g(Hb)
1172,heard
1173,per year
1174,degrees celcius
1175,2/week
1176,x
1177,cal
1178,MM 1stHR
1179,Cups per day
1180,LIT/MIN
1181,x10 12/l
1182,Red blood cell folate
1183,/100 WBCs
1184,units /week
1185,Âµg/L
1186,ug/L-ng/mL
1187,Time (24 hr ie HH.MM)
1188,bottles
1189,x 10^6/l
1190,grms/l
1191,days absent since last clinic
1192,% HB.
1193,gm
1194,10/9/l
1195,/ 6 months
1196,(ph)
1197,x10^9/1
1198,Rast No.
1199,/mL
1200,kg/m/m
1201,x10-9/l
1202,cig/day
1203,d/y
1204,109/l
1205,/cu.mm.
1206,lmin
1207,Systolic
1208,occasionally
1209,mm.Hg
1210,x 10 Â¹ Â²/L
1211,times/wk
1212,100
1213,Faeces colour: green
1214,f1
1215,umol/mol Haem
1216,mcg
1217,Ref:
1218,deg celcius
1219,10**12/L
1220,59
1221,Â°
1222,MPL
1223,umol
1224,10*3/uL
1225,I.U./mL
1226,*C
1227,yy
1228,x10/1
1229,Depression Score
1230,mPa.s.
1231,nights woken by SOB/week
1232,% of PEFR
1233,mm/1st Hour
1234,NRBC/100WBC
1235,x10\S\6/microlitre
1236,l\min
1237,Unspecified
1238,cells/uL
1239,L/M
1240,Diastolic
1241,lb
1242,mg/mmol Cr
1243,x10^9l
1244,nmols/l
1245,10*/L
1246,umol/molHb
1247,cent.
1248,10/9 l l
1249,/day Ex smoker
1250,10**9/L
1251,days in last mnth
1252,days/6months
1253,daily
1254,mm/1hr(WES)
1255,mlU/ML
1256,10*9/mL
1257,per 100 wbcs
1258,deg/C
1259,ratioratio
1260,/cu mm
1261,xx
1262,per 100 WBC
1263,306
1264,MMLITRES
1265,pf
1266,phq level
1267,Leu/uL
1268,lu/l
1269,L/Min EU scale
1270,active score
1271,x10\S\9/L
1272,see notes
1273,picomoles/l
1274,(0 - 3)
1275,iu/litre
1276,''
1277,*10 3/L
1278,/per week
1279,nmol/save
1280,Red blood cell distribution width
1281,Stage
1282,percent
1283,10/9 l(1.35%)
1284,umol/min
1285,CU
1286,times
1287,/[HPF]
1288,g/l.
1289,pmols/l
1290,Urine protein test not done
1291,24
1292,cigarettes a day
1293,umols/l
1294,....
1295,pg.
1296,cigarettes
1297,'C
1298,quarterly
1299,lit
1300,% Activity
1301,No of yes answers
1302,Elisa Units
1303,mL/min/1.72m*2
1304,days per wk in last mnth
1305,hrs/week
1306,10 x 9/l
1307,IU/L 37C
1308,mm^3
1309,K/M2
1310,(pu)
1311,resp/min
1312,/(hpf)
1313,mm in 1Hr
1314,Urine glucose test not done
1315,10*12L
1316,/day current
1317,PEF L/min
1318,4.9
1319,number / year
1320,Days/mth
1321,MPL U/ml
1322,Rarely
1323,packs
1324,10/12 l
1325,mol/kg
1326,grams
1327,l/l.
1328,cycles
1329,fl.
1330,centrigrade
1331,x10**12/l
1332,FAST Alcohol Score
1333,second
1334,uugm.ml
1335,events/year
1336,per 6mths
1337,mGy/cm2
1338,CIGS
1339,gms/dl
1340,day score
1341,risk/16
1342,Ltres
1343,/mth
1344,mPa
1345,umol zpp/molHeme
1346,x10^6/ejaculate
1347,x10^-2mP.s
1348,DAYS OFF IN LAST 1/12
1349,degrees F
1350,nmol/period
1351,mmol/kg body weight
1352,NIGHTS PER WK IN LAST 1/12
1353,x10^6/mL Semen
1354,x109/l
1355,/3 quest<1month
1356,mmol / 24 hr
1357,8
1358,admissions/12m
1359,litres/sec
1360,Jones index
1361,% @37 DegC
1362,mmol/sample
1363,mpl-u/ml
1364,iu (neph)
1365,once a month
1366,550
1367,total cholest:HDL
1368,% Viable
1369,% @37DegC
1370,1(tot)
1371,Cervical smear status unknown
1372,gpl-u/ml
1373,x 10*6/l
1374,beats/m
1375,#/[tot]
1376,g/24hr < 0.23
1377,who?
1378,% normal forms
1379,F
1380,@37 DegC
1381,/18
1382,ug/min
1383,0/12
1384,1 times/week
1385,av times/24h
1386,[iU]
1387,{Titre}
1388,10 ^9/L
1389,times in 1 wk
1390,ppm - 1.3%
1391,MM 1stH
1392,0 U/week
1393,Nights/wk
1394,No/Day
1395,mmol/Per
1396,% Tot.Hb
1397,{AI}
1398,%@37DegC
1399,X1012/L
1400,ml/m/1.73k
1401,pmol/mL/H
1402,No Units
1403,in last 6m
1404,cps
1405,exac last 12m
1406,ng FEU/ml
1407,U/ml Heparin
1408,courses
1409,steroid course/12m
1410,18
1411,AUDIT
1412,auditc
1413,% normal
1414,mlU/L
1415,TC:HDL
1416,%of best PEFR
1417,mosml/kg
1418,a+e/12months
1419,x 10*9/LR
1420,g/collection
1421,SD
1422,10^6/L
1423,/weekends
1424,l/min(EN)
1425,200
1426,109l
1427,per min
1428,OD
1429,exacs in past yr
1430,days this wk.
1431,240
1432,umol/period
1433,MRC value
1434,hr
1435,umol/Per
1436,#
1437,asthma exac<12m
1438,kg/m*m
1439,umolZPP/heme
1440,G/Period
1441,uM
1442,/ 12
1443,/29
1444,"beats/min, regular"
1445,regualar
1446,nmol/mmol cr
1447,monthly
1448,fits/year
1449,x10*6/ml
1450,regular beats/min
1451,/100WBCs
1452,mm(Hg)
1453,million/ml
1454,/45
1455,mL/24h/1.73m*2
1456,Grams per week
1457,cells/mm3
1458,regular
1459,(bdsk u)
1460,irregular
1461,No./yr
1462,mins/sec
1463,total / hdl ratio
1464,regular beats/miin
1465,p/week
1466,ng/mL/h
1467,L %
1468,K
1469,regular irregular
1470,Level
1471,stroke risk
1472,nights/week
1473,/22
1474,grams/week
1475,nmo/L
1476,packet /day
1477,11-Jul
1478,episodes/week
1479,SINCE LAST REVIEW
1480,Ounce per week
1481,ug/l FEU
1482,/aweek
1483,result
1484,roll ups
1485,mic/ml
1486,M/ml
1487,cells/cubic mm
1488,unit per day
1489,m/Pa
1490,/13
1491,Total Score
1492,T/month
1493,sick days in last year
1494,YR
1495,cells/ml
1496,CIGARETTES PER DAY
1497,(no UoM)
1498,/hour
1499,roll ups/day
1500,13
1501,35
1502,wks
1503,Temp
1504,joints/day
1505,% x10^9/l
1506,CHADS2
1507,x10*12/
1508,nmol/mmol creat
1509,units/day
1510,/a week
1511,5/day
1512,Ã¦mol/l
1513,MMOL/KG WATER
1514,28
1515,mg/mmolC
1516,per day/
1517,mg/mmolCr
1518,unsure
1519,NO
1520,U/g Hb
1521,mosmo/kg
1522,per/month
1523,appointment
1524,Pt
1525,10*6
1526,scored
1527,UMOL/MMOL CREAT
1528,rolls/day
1529,mL/d
1530,portns/day
1531,/weeks
1532,uM/l
1533,cans/day
1534,portions
1535,n
